23 May 2014	12:54:05		Logging to file ./clientlog//EMClient__000000170.txt
23 May 2014	12:54:05		SETTING	LogServer	True
23 May 2014	12:54:05		SETTING	LogServerPath	./serverlog
23 May 2014	12:54:05		SETTING	LogClient	True
23 May 2014	12:54:05		SETTING	LogClientPath	./clientlog
23 May 2014	12:54:05		SETTING	Server	129.241.102.247
23 May 2014	12:54:05		SETTING	ServerPort	9090
23 May 2014	12:54:05		SETTING	DataAPIServerPort	9091
23 May 2014	12:54:05		SETTING	DataAPIServer	localhost
23 May 2014	12:54:05	Microsoft CLR? YES
23 May 2014	12:54:05	Ping response = 0
23 May 2014	12:54:05	Ping response took 71ms or 174835 ticks
23 May 2014	12:54:39	0         	12        	2         	33561     
23 May 2014	12:55:13	1         	12        	9         	67182     
23 May 2014	12:55:45	2         	12        	14        	100035    
23 May 2014	12:56:18	3         	12        	19        	133003    
23 May 2014	12:56:51	4         	12        	24        	165965    
23 May 2014	12:57:25	5         	12        	29        	199527    
23 May 2014	12:57:58	6         	12        	34        	232620    
23 May 2014	12:58:31	7         	12        	39        	265731    
23 May 2014	12:59:04	8         	12        	44        	298800    
23 May 2014	12:59:38	9         	12        	49        	332407    
23 May 2014	13:00:11	10        	12        	54        	365491    
23 May 2014	13:00:44	11        	12        	59        	398773    
23 May 2014	13:01:18	12        	12        	63        	432924    
23 May 2014	13:01:52	13        	12        	69        	466345    
23 May 2014	13:02:25	14        	12        	74        	499581    
23 May 2014	13:02:58	15        	12        	79        	532796    
23 May 2014	13:03:31	16        	12        	84        	565878    
23 May 2014	13:04:04	17        	12        	89        	598438    
23 May 2014	13:04:37	18        	12        	94        	631161    
23 May 2014	13:05:09	19        	12        	99        	663506    
23 May 2014	13:05:42	20        	12        	104       	696290    
23 May 2014	13:06:14	21        	12        	109       	728925    
23 May 2014	13:06:48	22        	12        	114       	762597    
23 May 2014	13:07:21	23        	12        	119       	795735    
23 May 2014	13:07:54	24        	12        	123       	828542    
23 May 2014	13:08:27	25        	12        	129       	861380    
23 May 2014	13:08:59	26        	12        	134       	893450    
23 May 2014	13:09:32	27        	12        	139       	926142    
23 May 2014	13:10:04	28        	12        	144       	958981    
23 May 2014	13:10:38	29        	12        	149       	992416    
23 May 2014	13:11:11	30        	12        	154       	1025305   
23 May 2014	13:11:44	31        	12        	159       	1058228   
23 May 2014	13:12:17	32        	12        	164       	1091189   
23 May 2014	13:12:50	33        	12        	169       	1125058   
23 May 2014	13:13:23	34        	12        	174       	1157965   
23 May 2014	13:13:56	35        	12        	179       	1190850   
23 May 2014	13:14:29	36        	12        	184       	1223098   
23 May 2014	13:15:01	37        	12        	189       	1255542   
23 May 2014	13:15:35	38        	12        	194       	1289578   
23 May 2014	13:16:08	39        	12        	199       	1322532   
23 May 2014	13:16:41	40        	12        	204       	1355584   
23 May 2014	13:17:14	41        	12        	209       	1388531   
23 May 2014	13:17:48	42        	12        	214       	1422732   
23 May 2014	13:18:21	43        	12        	219       	1455729   
23 May 2014	13:18:54	44        	12        	224       	1488780   
23 May 2014	13:19:28	45        	12        	229       	1522142   
23 May 2014	13:20:01	46        	12        	234       	1555129   
23 May 2014	13:20:34	47        	12        	239       	1588198   
23 May 2014	13:21:07	48        	12        	243       	1621121   
23 May 2014	13:21:40	49        	12        	249       	1654461   
23 May 2014	13:22:12	50        	12        	254       	1687011   
23 May 2014	13:22:46	51        	12        	259       	1720401   
23 May 2014	13:23:18	52        	12        	264       	1752612   
23 May 2014	13:23:51	53        	12        	269       	1785270   
23 May 2014	13:24:23	54        	12        	274       	1818024   
23 May 2014	13:24:57	55        	12        	279       	1851665   
23 May 2014	13:25:30	56        	12        	284       	1884644   
23 May 2014	13:26:03	57        	12        	289       	1917633   
23 May 2014	13:26:37	58        	12        	294       	1951731   
23 May 2014	13:27:10	59        	12        	299       	1984911   
23 May 2014	13:27:43	60        	12        	304       	2017922   
23 May 2014	13:28:16	61        	12        	309       	2050793   
23 May 2014	13:28:49	62        	12        	314       	2083737   
23 May 2014	13:29:21	63        	12        	319       	2115980   
23 May 2014	13:29:54	64        	12        	324       	2148546   
23 May 2014	13:30:27	65        	12        	329       	2181121   
23 May 2014	13:31:01	66        	12        	334       	2215149   
23 May 2014	13:31:33	67        	12        	339       	2247871   
23 May 2014	13:32:06	68        	12        	344       	2280510   
23 May 2014	13:32:39	69        	12        	349       	2313822   
23 May 2014	13:33:11	70        	12        	354       	2346087   
23 May 2014	13:33:44	71        	12        	359       	2378208   
23 May 2014	13:34:16	72        	12        	364       	2410678   
23 May 2014	13:34:50	73        	12        	369       	2444779   
23 May 2014	13:35:23	74        	12        	374       	2477840   
23 May 2014	13:35:56	75        	12        	379       	2510723   
23 May 2014	13:36:29	76        	12        	384       	2543614   
23 May 2014	13:37:02	77        	12        	389       	2576820   
23 May 2014	13:37:35	78        	12        	394       	2609538   
23 May 2014	13:38:08	79        	12        	399       	2642901   
23 May 2014	13:38:43	80        	12        	404       	2677812   
23 May 2014	13:39:17	81        	12        	409       	2712065   
23 May 2014	13:39:52	82        	12        	414       	2746293   
